	tt	loss_trn
0	0	28.306544
1	1	3487.00928
2	2	4.15569
3	3	2.648216
4	4	2.922899
5	5	2.417643
6	6	1.554585
7	7	2.231534
8	8	1.041283
9	9	1.143441
10	10	1.714411
11	11	0.673406
12	12	0.61578
13	13	0.712871
14	14	0.697839
15	15	0.652754
16	16	0.395382
17	17	0.600082
18	18	0.80123
19	19	0.545044
20	20	0.552324
21	21	1.064801
22	22	0.222875
23	23	0.206257
24	24	0.293688
25	25	0.694533
26	26	0.681236
27	27	0.820482
28	28	0.919624
29	29	0.47118
30	30	0.395937
31	31	0.236337
32	32	0.367444
33	33	0.420873
34	34	0.592322
35	35	0.334226
36	36	0.213178
37	37	0.447155
38	38	0.377896
39	39	0.145709
40	40	0.25102
41	41	0.343703
42	42	0.238382
43	43	0.182819
44	44	0.28264
45	45	0.225488
46	46	0.124815
47	47	0.455338
48	48	0.259949
49	49	0.207315
50	50	0.251458
51	51	0.293794
52	52	0.241897
53	53	0.366557
54	54	0.198199
55	55	0.227842
56	56	0.188444
57	57	0.262379
58	58	0.184966
59	59	0.288619
60	60	0.107938
61	61	0.250804
62	62	0.242581
63	63	0.210023
64	64	0.102036
65	65	0.131483
66	66	0.263419
67	67	0.264648
68	68	0.228628
69	69	0.191114
70	70	0.18979
71	71	0.188872
72	72	0.152814
73	73	0.510377
74	74	0.151911
75	75	0.205946
76	76	0.174128
77	77	0.172295
78	78	0.14236
79	79	0.083772
80	80	0.220276
81	81	0.271385
82	82	0.216787
83	83	0.163903
84	84	0.265255
85	85	0.181104
86	86	0.184969
87	87	0.102931
88	88	0.251311
89	89	0.10345
90	90	0.244271
91	91	0.290897
92	92	0.195043
93	93	0.237091
94	94	0.142903
95	95	0.09749
96	96	0.141237
97	97	0.205718
98	98	0.136995
99	99	0.244663
100	100	0.071875
101	101	0.071848
102	102	0.215667
103	103	0.112615
104	104	0.194331
105	105	0.069673
106	106	0.149471
107	107	0.147313
108	108	0.166929
109	109	0.129659
110	110	0.165101
111	111	0.087095
112	112	0.107383
113	113	0.199978
114	114	0.103776
115	115	0.103751
116	116	0.120985
117	117	0.083045
118	118	0.135655
119	119	0.153549
120	120	0.226571
121	121	0.08097
122	122	0.115668
123	123	0.149123
124	124	0.095252
125	125	0.061923
126	126	0.061268
127	127	0.1291
128	128	0.096398
129	129	0.0451
130	130	0.143067
131	131	0.141754
132	132	0.108934
133	133	0.124298
134	134	0.170832
135	135	0.141669
136	136	0.124269
137	137	0.060541
138	138	0.152159
139	139	0.0742
140	140	0.08802
141	141	0.164237
142	142	0.19516
143	143	0.08892
144	144	0.148094
145	145	0.087439
146	146	0.128863
147	147	0.085181
148	148	0.102688
149	149	0.042707
